device_id,customer_id,device_type,os,ip_address
DEV-00001,CUST-0001,Mobile,Android,192.222.46.252
DEV-00002,CUST-0001,Tablet,Android,82.253.57.121
DEV-00003,CUST-0002,Desktop,Android,183.121.25.87
DEV-00004,CUST-0003,Desktop,Android,191.241.110.83
DEV-00005,CUST-0003,Desktop,Windows,110.119.22.113
DEV-00006,CUST-0004,Tablet,Windows,46.12.17.225
DEV-00007,CUST-0005,Desktop,Windows,178.89.147.246
DEV-00008,CUST-0006,Mobile,Windows,189.197.33.125
DEV-00009,CUST-0007,Mobile,Android,154.156.63.46
DEV-00010,CUST-0008,Desktop,iOS,200.244.45.101
DEV-00011,CUST-0008,Tablet,Windows,104.131.241.53
DEV-00012,CUST-0009,Desktop,iOS,220.219.141.1
DEV-00013,CUST-0010,Tablet,MacOS,155.50.95.201
DEV-00014,CUST-0011,Desktop,Windows,181.25.99.222
DEV-00015,CUST-0012,Tablet,MacOS,197.234.71.83
DEV-00016,CUST-0013,Desktop,iOS,78.230.32.193
DEV-00017,CUST-0014,Desktop,iOS,132.93.54.255
DEV-00018,CUST-0014,Mobile,Android,216.181.244.54
DEV-00019,CUST-0014,Mobile,Windows,192.18.183.47
DEV-00020,CUST-0015,Mobile,MacOS,20.198.43.165
DEV-00021,CUST-0015,Mobile,Windows,12.42.113.231
DEV-00022,CUST-0016,Mobile,Windows,215.36.252.253
DEV-00023,CUST-0016,Tablet,Android,129.74.214.155
DEV-00024,CUST-0016,Desktop,Windows,138.26.229.187
DEV-00025,CUST-0017,Mobile,iOS,211.124.1.67
DEV-00026,CUST-0018,Desktop,Windows,159.65.114.87
DEV-00027,CUST-0019,Desktop,Windows,200.131.211.212
DEV-00028,CUST-0020,Tablet,MacOS,138.6.158.49
DEV-00029,CUST-0021,Mobile,Windows,193.61.162.222
DEV-00030,CUST-0022,Desktop,iOS,76.168.160.111
DEV-00031,CUST-0022,Mobile,Android,33.180.168.75
DEV-00032,CUST-0022,Desktop,Windows,219.16.160.241
DEV-00033,CUST-0023,Tablet,Android,153.118.61.107
DEV-00034,CUST-0024,Tablet,iOS,178.70.74.170
DEV-00035,CUST-0025,Tablet,MacOS,147.201.87.115
DEV-00036,CUST-0026,Desktop,Windows,193.54.194.22
DEV-00037,CUST-0027,Tablet,iOS,170.17.115.116
DEV-00038,CUST-0028,Mobile,Android,81.201.82.37
DEV-00039,CUST-0029,Mobile,Windows,217.75.138.4
DEV-00040,CUST-0030,Tablet,Android,70.112.182.249
DEV-00041,CUST-0031,Tablet,Windows,195.218.61.159
DEV-00042,CUST-0032,Desktop,Android,170.75.161.181
DEV-00043,CUST-0033,Desktop,Windows,163.79.116.232
DEV-00044,CUST-0034,Mobile,Windows,203.225.154.46
DEV-00045,CUST-0035,Mobile,Android,143.231.249.79
DEV-00046,CUST-0036,Tablet,iOS,132.243.50.108
DEV-00047,CUST-0037,Mobile,Android,206.146.185.220
DEV-00048,CUST-0038,Tablet,MacOS,112.202.107.184
DEV-00049,CUST-0039,Mobile,Windows,199.175.55.76
