alert_id,customer_id,transaction_id,source_agency,alert_type,severity,alert_time
ALERT-0001,CUST-0182,TX-003987,OFAC,Suspicious Activity Report,MEDIUM,2026-07-21 14:25:59
ALERT-0002,CUST-0094,TX-002115,Interpol,Card Fraud Alert,MEDIUM,2026-06-07 14:25:59
ALERT-0003,CUST-0451,TX-010047,FIU,Card Fraud Alert,MEDIUM,2026-07-12 14:25:59
ALERT-0004,CUST-0197,TX-004353,OFAC,Card Fraud Alert,MEDIUM,2026-06-06 14:25:59
ALERT-0005,CUST-0433,TX-009535,Interpol,Structuring Warning,MEDIUM,2026-07-09 14:25:59
ALERT-0006,CUST-0353,TX-007819,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-13 14:25:59
ALERT-0007,CUST-0485,TX-010940,FIU,Suspicious Activity Report,MEDIUM,2026-07-16 14:25:59
ALERT-0008,CUST-0238,TX-005266,Interpol,Suspicious Activity Report,MEDIUM,2026-06-06 14:25:59
ALERT-0009,CUST-0195,TX-004325,FinCEN,Suspicious Activity Report,MEDIUM,2026-07-23 14:25:59
ALERT-0010,CUST-0496,TX-011159,Interpol,High-Risk Merchant Interaction,CRITICAL,2026-06-18 14:25:59
ALERT-0011,CUST-0496,TX-011122,OFAC,Structuring Warning,MEDIUM,2026-06-17 14:25:59
ALERT-0012,CUST-0046,TX-001023,National Crime Agency,Card Fraud Alert,MEDIUM,2026-07-13 14:25:59
ALERT-0013,CUST-0284,TX-006403,FIU,Structuring Warning,MEDIUM,2026-06-28 14:25:59
ALERT-0014,CUST-0277,TX-006227,OFAC,Card Fraud Alert,MEDIUM,2026-07-17 14:25:59
ALERT-0015,CUST-0220,TX-004821,National Crime Agency,Suspicious Activity Report,CRITICAL,2026-06-24 14:25:59
ALERT-0016,CUST-0220,TX-004793,OFAC,High-Risk Merchant Interaction,HIGH,2026-07-15 14:25:59
ALERT-0017,CUST-0008,TX-000108,National Crime Agency,Suspicious Activity Report,HIGH,2026-07-21 14:25:59
ALERT-0018,CUST-0303,TX-006808,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-06-01 14:25:59
ALERT-0019,CUST-0447,TX-009906,FIU,Suspicious Activity Report,CRITICAL,2026-07-21 14:25:59
ALERT-0020,CUST-0185,TX-004082,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-07-04 14:25:59
ALERT-0021,CUST-0190,TX-004183,Interpol,Structuring Warning,MEDIUM,2026-06-11 14:25:59
ALERT-0022,CUST-0412,TX-009115,FinCEN,Structuring Warning,CRITICAL,2026-06-01 14:25:59
ALERT-0023,CUST-0226,TX-004980,FIU,Suspicious Activity Report,MEDIUM,2026-06-03 14:25:59
ALERT-0024,CUST-0327,TX-007309,National Crime Agency,Card Fraud Alert,MEDIUM,2026-07-21 14:25:59
ALERT-0025,CUST-0224,TX-004901,Interpol,Structuring Warning,MEDIUM,2026-07-04 14:25:59
ALERT-0026,CUST-0097,TX-002200,FIU,Structuring Warning,MEDIUM,2026-06-12 14:26:00
ALERT-0027,CUST-0374,TX-008167,Interpol,Card Fraud Alert,MEDIUM,2026-07-05 14:26:00
ALERT-0028,CUST-0094,TX-002147,FIU,Suspicious Activity Report,MEDIUM,2026-07-01 14:26:00
ALERT-0029,CUST-0049,TX-001066,FIU,Suspicious Activity Report,MEDIUM,2026-07-10 14:26:00
ALERT-0030,CUST-0244,TX-005392,Interpol,Card Fraud Alert,MEDIUM,2026-06-14 14:26:00
ALERT-0031,CUST-0278,TX-006273,OFAC,Suspicious Activity Report,MEDIUM,2026-07-18 14:26:00
ALERT-0032,CUST-0461,TX-010309,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-10 14:26:00
ALERT-0033,CUST-0014,TX-000256,FinCEN,Card Fraud Alert,MEDIUM,2026-06-10 14:26:00
ALERT-0034,CUST-0022,TX-000522,FIU,Structuring Warning,MEDIUM,2026-06-13 14:26:00
ALERT-0035,CUST-0226,TX-004985,FinCEN,Card Fraud Alert,HIGH,2026-06-20 14:26:00
ALERT-0036,CUST-0287,TX-006478,Interpol,Card Fraud Alert,MEDIUM,2026-06-14 14:26:00
ALERT-0037,CUST-0496,TX-011193,OFAC,Card Fraud Alert,MEDIUM,2026-06-21 14:26:00
ALERT-0038,CUST-0378,TX-008336,OFAC,High-Risk Merchant Interaction,HIGH,2026-07-02 14:26:00
ALERT-0039,CUST-0253,TX-005592,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-06-19 14:26:00
ALERT-0040,CUST-0195,TX-004305,Interpol,Suspicious Activity Report,MEDIUM,2026-07-23 14:26:00
ALERT-0041,CUST-0202,TX-004507,National Crime Agency,Card Fraud Alert,MEDIUM,2026-07-24 14:26:00
ALERT-0042,CUST-0303,TX-006753,Interpol,Structuring Warning,MEDIUM,2026-07-22 14:26:00
ALERT-0043,CUST-0059,TX-001229,National Crime Agency,Suspicious Activity Report,MEDIUM,2026-07-03 14:26:00
ALERT-0044,CUST-0496,TX-011123,National Crime Agency,Suspicious Activity Report,CRITICAL,2026-06-18 14:26:00
ALERT-0045,CUST-0259,TX-005732,FIU,Suspicious Activity Report,MEDIUM,2026-06-27 14:26:00
ALERT-0046,CUST-0287,TX-006436,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-02 14:26:00
ALERT-0047,CUST-0069,TX-001449,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-02 14:26:00
ALERT-0048,CUST-0297,TX-006654,FIU,Suspicious Activity Report,MEDIUM,2026-07-04 14:26:00
ALERT-0049,CUST-0479,TX-010832,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-07-23 14:26:00
ALERT-0050,CUST-0220,TX-004788,Interpol,High-Risk Merchant Interaction,CRITICAL,2026-06-28 14:26:00
ALERT-0051,CUST-0224,TX-004919,FinCEN,Structuring Warning,MEDIUM,2026-07-01 14:26:00
ALERT-0052,CUST-0016,TX-000361,Interpol,Structuring Warning,MEDIUM,2026-07-19 14:26:00
ALERT-0053,CUST-0185,TX-004062,National Crime Agency,High-Risk Merchant Interaction,MEDIUM,2026-06-10 14:26:00
ALERT-0054,CUST-0032,TX-000710,OFAC,Suspicious Activity Report,MEDIUM,2026-07-09 14:26:00
ALERT-0055,CUST-0224,TX-004927,FIU,High-Risk Merchant Interaction,CRITICAL,2026-06-12 14:26:00
ALERT-0056,CUST-0467,TX-010490,Interpol,Structuring Warning,MEDIUM,2026-06-29 14:26:00
ALERT-0057,CUST-0226,TX-005006,National Crime Agency,Card Fraud Alert,MEDIUM,2026-06-20 14:26:00
ALERT-0058,CUST-0118,TX-002683,OFAC,Suspicious Activity Report,MEDIUM,2026-06-19 14:26:00
ALERT-0059,CUST-0072,TX-001601,FIU,Card Fraud Alert,MEDIUM,2026-06-23 14:26:00
ALERT-0060,CUST-0014,TX-000278,FinCEN,High-Risk Merchant Interaction,CRITICAL,2026-07-16 14:26:00
ALERT-0061,CUST-0069,TX-001455,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-27 14:26:01
ALERT-0062,CUST-0174,TX-003723,FIU,Structuring Warning,MEDIUM,2026-06-03 14:26:01
ALERT-0063,CUST-0173,TX-003692,OFAC,Structuring Warning,MEDIUM,2026-07-06 14:26:01
ALERT-0064,CUST-0262,TX-005852,OFAC,Card Fraud Alert,MEDIUM,2026-07-22 14:26:01
ALERT-0065,CUST-0173,TX-003715,Interpol,Structuring Warning,MEDIUM,2026-07-21 14:26:01
ALERT-0066,CUST-0080,TX-001763,OFAC,Structuring Warning,CRITICAL,2026-07-13 14:26:01
ALERT-0067,CUST-0107,TX-002406,FinCEN,Card Fraud Alert,MEDIUM,2026-06-21 14:26:01
ALERT-0068,CUST-0370,TX-008072,Interpol,Structuring Warning,MEDIUM,2026-06-20 14:26:01
ALERT-0069,CUST-0412,TX-009100,FinCEN,Card Fraud Alert,MEDIUM,2026-07-09 14:26:01
ALERT-0070,CUST-0238,TX-005269,Interpol,Card Fraud Alert,MEDIUM,2026-06-14 14:26:01
ALERT-0071,CUST-0262,TX-005801,FinCEN,Card Fraud Alert,MEDIUM,2026-06-27 14:26:01
ALERT-0072,CUST-0029,TX-000666,OFAC,Suspicious Activity Report,MEDIUM,2026-06-26 14:26:01
ALERT-0073,CUST-0099,TX-002236,FIU,Suspicious Activity Report,MEDIUM,2026-05-31 14:26:01
ALERT-0074,CUST-0199,TX-004433,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-22 14:26:01
ALERT-0075,CUST-0107,TX-002414,National Crime Agency,Structuring Warning,CRITICAL,2026-06-30 14:26:01
ALERT-0076,CUST-0461,TX-010335,FIU,Card Fraud Alert,MEDIUM,2026-06-19 14:26:01
ALERT-0077,CUST-0277,TX-006206,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-06-01 14:26:01
ALERT-0078,CUST-0084,TX-001908,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-21 14:26:01
ALERT-0079,CUST-0483,TX-010916,OFAC,Structuring Warning,CRITICAL,2026-07-13 14:26:01
ALERT-0080,CUST-0321,TX-007107,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-28 14:26:01
ALERT-0081,CUST-0273,TX-006117,OFAC,Card Fraud Alert,MEDIUM,2026-07-07 14:26:01
ALERT-0082,CUST-0451,TX-010019,FIU,Suspicious Activity Report,MEDIUM,2026-07-15 14:26:01
ALERT-0083,CUST-0289,TX-006518,Interpol,Card Fraud Alert,MEDIUM,2026-07-17 14:26:01
ALERT-0084,CUST-0287,TX-006477,Interpol,Structuring Warning,CRITICAL,2026-06-25 14:26:01
ALERT-0085,CUST-0278,TX-006291,FIU,High-Risk Merchant Interaction,MEDIUM,2026-07-20 14:26:01
ALERT-0086,CUST-0349,TX-007716,National Crime Agency,High-Risk Merchant Interaction,MEDIUM,2026-06-22 14:26:01
ALERT-0087,CUST-0199,TX-004410,FinCEN,Card Fraud Alert,MEDIUM,2026-07-01 14:26:01
ALERT-0088,CUST-0456,TX-010224,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-03 14:26:01
ALERT-0089,CUST-0199,TX-004439,FinCEN,Card Fraud Alert,CRITICAL,2026-06-11 14:26:01
ALERT-0090,CUST-0461,TX-010352,FIU,Suspicious Activity Report,MEDIUM,2026-07-02 14:26:01
ALERT-0091,CUST-0277,TX-006240,National Crime Agency,Structuring Warning,MEDIUM,2026-06-12 14:26:01
ALERT-0092,CUST-0185,TX-004032,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-24 14:26:01
ALERT-0093,CUST-0262,TX-005859,FIU,Suspicious Activity Report,MEDIUM,2026-07-23 14:26:02
ALERT-0094,CUST-0479,TX-010836,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-07-06 14:26:02
ALERT-0095,CUST-0461,TX-010347,FIU,Structuring Warning,MEDIUM,2026-05-31 14:26:02
ALERT-0096,CUST-0174,TX-003728,FinCEN,Card Fraud Alert,CRITICAL,2026-06-20 14:26:02
ALERT-0097,CUST-0046,TX-001025,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-07-03 14:26:02
ALERT-0098,CUST-0287,TX-006495,Interpol,Card Fraud Alert,MEDIUM,2026-06-22 14:26:02
ALERT-0099,CUST-0072,TX-001592,FIU,High-Risk Merchant Interaction,MEDIUM,2026-07-23 14:26:02
ALERT-0100,CUST-0107,TX-002432,FinCEN,Card Fraud Alert,MEDIUM,2026-06-10 14:26:02
ALERT-0101,CUST-0107,TX-002434,FIU,Card Fraud Alert,MEDIUM,2026-06-06 14:26:02
ALERT-0102,CUST-0436,TX-009599,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-11 14:26:02
ALERT-0103,CUST-0303,TX-006782,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-07-22 14:26:02
ALERT-0104,CUST-0379,TX-008363,FIU,Structuring Warning,MEDIUM,2026-06-20 14:26:02
ALERT-0105,CUST-0244,TX-005387,FinCEN,Card Fraud Alert,CRITICAL,2026-05-31 14:26:02
ALERT-0106,CUST-0278,TX-006271,FIU,Card Fraud Alert,MEDIUM,2026-07-01 14:26:02
ALERT-0107,CUST-0479,TX-010824,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-16 14:26:02
ALERT-0108,CUST-0327,TX-007282,OFAC,Structuring Warning,MEDIUM,2026-06-02 14:26:02
ALERT-0109,CUST-0477,TX-010717,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-06-14 14:26:02
ALERT-0110,CUST-0202,TX-004513,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-25 14:26:02
ALERT-0111,CUST-0461,TX-010351,National Crime Agency,Card Fraud Alert,MEDIUM,2026-06-20 14:26:02
ALERT-0112,CUST-0244,TX-005416,FIU,High-Risk Merchant Interaction,MEDIUM,2026-07-02 14:26:02
ALERT-0113,CUST-0174,TX-003725,FIU,High-Risk Merchant Interaction,MEDIUM,2026-06-07 14:26:02
ALERT-0114,CUST-0069,TX-001463,FIU,Suspicious Activity Report,MEDIUM,2026-06-05 14:26:02
ALERT-0115,CUST-0262,TX-005804,National Crime Agency,Structuring Warning,CRITICAL,2026-07-17 14:26:02
ALERT-0116,CUST-0014,TX-000288,FIU,Suspicious Activity Report,MEDIUM,2026-07-11 14:26:02
ALERT-0117,CUST-0461,TX-010341,National Crime Agency,Structuring Warning,MEDIUM,2026-06-18 14:26:02
ALERT-0118,CUST-0262,TX-005863,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-28 14:26:02
ALERT-0119,CUST-0016,TX-000375,OFAC,Structuring Warning,MEDIUM,2026-06-09 14:26:02
ALERT-0120,CUST-0084,TX-001898,National Crime Agency,Card Fraud Alert,HIGH,2026-07-06 14:26:02
ALERT-0121,CUST-0016,TX-000323,Interpol,Suspicious Activity Report,MEDIUM,2026-07-04 14:26:02
ALERT-0122,CUST-0195,TX-004271,FinCEN,Card Fraud Alert,MEDIUM,2026-06-16 14:26:02
ALERT-0123,CUST-0069,TX-001448,FinCEN,Card Fraud Alert,MEDIUM,2026-07-18 14:26:03
ALERT-0124,CUST-0014,TX-000300,FinCEN,Structuring Warning,MEDIUM,2026-07-01 14:26:03
ALERT-0125,CUST-0174,TX-003752,FIU,Suspicious Activity Report,MEDIUM,2026-07-13 14:26:03
ALERT-0126,CUST-0353,TX-007783,Interpol,Suspicious Activity Report,MEDIUM,2026-06-09 14:26:03
ALERT-0127,CUST-0479,TX-010801,FIU,Structuring Warning,MEDIUM,2026-07-12 14:26:03
ALERT-0128,CUST-0336,TX-007454,OFAC,Suspicious Activity Report,MEDIUM,2026-06-20 14:26:03
ALERT-0129,CUST-0374,TX-008181,FIU,Structuring Warning,CRITICAL,2026-06-22 14:26:03
ALERT-0130,CUST-0220,TX-004787,FIU,Suspicious Activity Report,MEDIUM,2026-07-14 14:26:03
ALERT-0131,CUST-0162,TX-003470,FinCEN,Structuring Warning,MEDIUM,2026-07-09 14:26:03
ALERT-0132,CUST-0247,TX-005469,FIU,Suspicious Activity Report,MEDIUM,2026-07-22 14:26:03
ALERT-0133,CUST-0151,TX-003264,National Crime Agency,Structuring Warning,MEDIUM,2026-06-07 14:26:03
ALERT-0134,CUST-0070,TX-001528,OFAC,Suspicious Activity Report,MEDIUM,2026-07-05 14:26:03
ALERT-0135,CUST-0107,TX-002437,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-07-08 14:26:03
ALERT-0136,CUST-0461,TX-010316,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-22 14:26:03
ALERT-0137,CUST-0467,TX-010474,FinCEN,High-Risk Merchant Interaction,CRITICAL,2026-06-02 14:26:03
ALERT-0138,CUST-0008,TX-000124,Interpol,Card Fraud Alert,MEDIUM,2026-06-05 14:26:03
ALERT-0139,CUST-0094,TX-002110,OFAC,Suspicious Activity Report,MEDIUM,2026-06-12 14:26:03
ALERT-0140,CUST-0238,TX-005249,OFAC,Suspicious Activity Report,MEDIUM,2026-06-01 14:26:03
ALERT-0141,CUST-0412,TX-009123,FinCEN,Suspicious Activity Report,MEDIUM,2026-07-02 14:26:03
ALERT-0142,CUST-0402,TX-008823,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-06-03 14:26:03
ALERT-0143,CUST-0447,TX-009894,Interpol,Structuring Warning,MEDIUM,2026-07-24 14:26:03
ALERT-0144,CUST-0259,TX-005737,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-07 14:26:03
ALERT-0145,CUST-0174,TX-003763,OFAC,Card Fraud Alert,CRITICAL,2026-06-06 14:26:03
ALERT-0146,CUST-0469,TX-010538,FIU,Card Fraud Alert,CRITICAL,2026-07-15 14:26:03
ALERT-0147,CUST-0202,TX-004516,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-08 14:26:03
ALERT-0148,CUST-0238,TX-005276,FinCEN,Structuring Warning,MEDIUM,2026-06-07 14:26:03
ALERT-0149,CUST-0496,TX-011184,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-06-22 14:26:03
ALERT-0150,CUST-0484,TX-010937,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-01 14:26:03
ALERT-0151,CUST-0461,TX-010328,FIU,High-Risk Merchant Interaction,CRITICAL,2026-06-19 14:26:03
ALERT-0152,CUST-0277,TX-006245,FIU,Structuring Warning,MEDIUM,2026-07-24 14:26:03
ALERT-0153,CUST-0244,TX-005422,FinCEN,Card Fraud Alert,MEDIUM,2026-07-16 14:26:03
ALERT-0154,CUST-0479,TX-010787,FinCEN,High-Risk Merchant Interaction,HIGH,2026-06-17 14:26:03
ALERT-0155,CUST-0412,TX-009085,FinCEN,High-Risk Merchant Interaction,HIGH,2026-06-29 14:26:03
ALERT-0156,CUST-0204,TX-004577,OFAC,Suspicious Activity Report,MEDIUM,2026-07-03 14:26:03
ALERT-0157,CUST-0327,TX-007302,National Crime Agency,Structuring Warning,MEDIUM,2026-07-04 14:26:03
ALERT-0158,CUST-0081,TX-001827,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-14 14:26:03
ALERT-0159,CUST-0368,TX-008043,Interpol,Structuring Warning,MEDIUM,2026-07-21 14:26:04
ALERT-0160,CUST-0174,TX-003746,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-06-30 14:26:04
ALERT-0161,CUST-0018,TX-000425,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-07-21 14:26:04
ALERT-0162,CUST-0224,TX-004936,FinCEN,Suspicious Activity Report,MEDIUM,2026-07-22 14:26:04
ALERT-0163,CUST-0412,TX-009070,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-22 14:26:04
ALERT-0164,CUST-0008,TX-000094,National Crime Agency,Structuring Warning,MEDIUM,2026-07-06 14:26:04
ALERT-0165,CUST-0072,TX-001614,National Crime Agency,High-Risk Merchant Interaction,MEDIUM,2026-07-10 14:26:04
ALERT-0166,CUST-0318,TX-007065,National Crime Agency,High-Risk Merchant Interaction,HIGH,2026-07-18 14:26:04
ALERT-0167,CUST-0014,TX-000262,National Crime Agency,High-Risk Merchant Interaction,MEDIUM,2026-06-18 14:26:04
ALERT-0168,CUST-0070,TX-001499,National Crime Agency,Suspicious Activity Report,MEDIUM,2026-07-20 14:26:04
ALERT-0169,CUST-0107,TX-002446,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-09 14:26:04
ALERT-0170,CUST-0220,TX-004816,FinCEN,Suspicious Activity Report,MEDIUM,2026-06-17 14:26:04
ALERT-0171,CUST-0151,TX-003273,Interpol,Suspicious Activity Report,MEDIUM,2026-06-18 14:26:04
ALERT-0172,CUST-0382,TX-008456,Interpol,Card Fraud Alert,HIGH,2026-06-21 14:26:04
ALERT-0173,CUST-0214,TX-004696,Interpol,Structuring Warning,MEDIUM,2026-07-05 14:26:04
ALERT-0174,CUST-0087,TX-001981,National Crime Agency,Suspicious Activity Report,HIGH,2026-07-09 14:26:04
ALERT-0175,CUST-0070,TX-001500,National Crime Agency,Card Fraud Alert,MEDIUM,2026-06-15 14:26:04
ALERT-0176,CUST-0412,TX-009090,OFAC,Suspicious Activity Report,CRITICAL,2026-07-18 14:26:04
ALERT-0177,CUST-0447,TX-009898,National Crime Agency,Structuring Warning,MEDIUM,2026-07-12 14:26:04
ALERT-0178,CUST-0417,TX-009217,OFAC,Card Fraud Alert,CRITICAL,2026-07-15 14:26:04
ALERT-0179,CUST-0022,TX-000529,National Crime Agency,Card Fraud Alert,MEDIUM,2026-06-14 14:26:04
ALERT-0180,CUST-0085,TX-001939,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-06-23 14:26:04
ALERT-0181,CUST-0116,TX-002628,OFAC,Suspicious Activity Report,HIGH,2026-07-10 14:26:04
ALERT-0182,CUST-0464,TX-010399,Interpol,Card Fraud Alert,MEDIUM,2026-06-25 14:26:04
ALERT-0183,CUST-0315,TX-006997,Interpol,Structuring Warning,MEDIUM,2026-06-12 14:26:04
ALERT-0184,CUST-0478,TX-010734,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-07-05 14:26:04
ALERT-0185,CUST-0419,TX-009243,Interpol,Suspicious Activity Report,MEDIUM,2026-06-28 14:26:04
ALERT-0186,CUST-0080,TX-001769,FinCEN,Suspicious Activity Report,MEDIUM,2026-07-06 14:26:04
ALERT-0187,CUST-0303,TX-006746,Interpol,High-Risk Merchant Interaction,MEDIUM,2026-07-20 14:26:04
