kyc_id,customer_id,doc_type,doc_status,expiry_date,pep_status,net_worth
KYC-0001,CUST-0001,Passport,VERIFIED,2027-11-10,NO,19557
KYC-0002,CUST-0002,SSN,VERIFIED,2027-07-30,NO,76604
KYC-0003,CUST-0003,National ID,VERIFIED,2026-10-07,NO,757218
KYC-0004,CUST-0004,Driving License,VERIFIED,2027-10-06,NO,73109
KYC-0005,CUST-0005,Passport,VERIFIED,2027-01-02,NO,3642232
KYC-0006,CUST-0006,SSN,VERIFIED,2027-02-25,YES,108043
KYC-0007,CUST-0007,Passport,VERIFIED,2027-03-10,NO,126318
KYC-0008,CUST-0008,National ID,VERIFIED,2027-06-11,YES,488606
KYC-0009,CUST-0009,Passport,VERIFIED,2026-08-24,NO,85594
KYC-0010,CUST-0010,Passport,VERIFIED,2027-07-24,NO,51947
KYC-0011,CUST-0011,National ID,VERIFIED,2027-07-20,NO,639017
KYC-0012,CUST-0012,National ID,VERIFIED,2027-08-11,NO,103696
KYC-0013,CUST-0013,SSN,VERIFIED,2026-10-27,NO,49367
KYC-0014,CUST-0014,Driving License,FAILED,2025-06-10,NO,98022
KYC-0015,CUST-0015,Passport,VERIFIED,2026-09-16,NO,986351
KYC-0016,CUST-0016,SSN,EXPIRED,2026-06-02,YES,167351
KYC-0017,CUST-0017,National ID,VERIFIED,2028-06-12,NO,592986
KYC-0018,CUST-0018,SSN,VERIFIED,2027-07-04,NO,57796
KYC-0019,CUST-0019,Passport,VERIFIED,2027-08-11,NO,121977
KYC-0020,CUST-0020,Driving License,VERIFIED,2028-08-22,NO,992388
KYC-0021,CUST-0021,Driving License,VERIFIED,2029-03-09,NO,881023
KYC-0022,CUST-0022,Driving License,EXPIRED,2025-12-30,NO,116650
KYC-0023,CUST-0023,SSN,VERIFIED,2027-12-26,NO,137079
KYC-0024,CUST-0024,SSN,VERIFIED,2027-08-26,NO,551536
KYC-0025,CUST-0025,Passport,VERIFIED,2027-07-30,NO,788663
KYC-0026,CUST-0026,Driving License,VERIFIED,2028-01-19,NO,572337
KYC-0027,CUST-0027,SSN,VERIFIED,2027-04-10,NO,941722
KYC-0028,CUST-0028,Driving License,VERIFIED,2026-10-17,NO,28358
