merchant_id,merchant_name,category,country,blacklisted
MERCH-0001,Larson and Sons,Dining,United Kingdom,False
MERCH-0002,Martin and Sons,Dining,United Kingdom,False
MERCH-0003,Rodriguez Inc,Dining,France,False
MERCH-0004,Cooper-Finley,Retail,Switzerland,False
MERCH-0005,"Moore, Cortez and Castillo",Retail,France,False
MERCH-0006,Tran Group,Dining,Iraq,False
MERCH-0007,"Robinson, Jordan and Wiley",Retail,Canada,False
MERCH-0008,Smith Group,Groceries,Germany,False
MERCH-0009,Allen PLC Pawnbrokers,Pawn Shop,Canada,False
MERCH-0010,"Campbell, Chaney and Bryant Pawnbrokers",Pawn Shop,United States,False
MERCH-0011,"Miller, Porter and Bryant",Groceries,Germany,False
MERCH-0012,Skinner Inc,Retail,France,False
MERCH-0013,"Crosby, Yang and Adkins",Retail,India,False
MERCH-0014,Harrington-Jordan,Retail,United States,False
MERCH-0015,Hughes-Phillips,Retail,Yemen,False
MERCH-0016,Carter LLC,Dining,France,False
MERCH-0017,"Freeman, Goodwin and King",Digital Services,Japan,False
MERCH-0018,Sawyer PLC Pawnbrokers,Pawn Shop,France,False
MERCH-0019,Gonzalez PLC,Groceries,United Kingdom,False
MERCH-0020,Barrett and Sons,Dining,Australia,False
MERCH-0021,Phillips and Sons,Groceries,Germany,False
MERCH-0022,Binance-Mock,Crypto Exchange,Australia,False
MERCH-0023,Johnson-Noble,Retail,Singapore,False
MERCH-0024,Lucas and Sons Pawnbrokers,Pawn Shop,Switzerland,False
MERCH-0025,Baker-Singh,Retail,Canada,False
MERCH-0026,Fitzpatrick-Sanders,Dining,Canada,False
MERCH-0027,"Barajas, Simpson and Murphy",Groceries,Canada,False
MERCH-0028,Ross-Martinez,Retail,Switzerland,False
MERCH-0029,Huffman LLC,Retail,Switzerland,False
MERCH-0030,Perez and Sons,Retail,Myanmar,False
MERCH-0031,Olson-Rodriguez Pawnbrokers,Pawn Shop,France,False
MERCH-0032,Lewis and Sons,Groceries,Switzerland,False
